Time,Token,Action,Address,Amount
2022-06-17 09:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,100000.0
2022-06-21 10:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,14132.0
2022-06-21 10:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,2834.48
2022-06-27 12:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,7847.0
2022-06-27 12:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-07-02 11:00,USDC,FROM,0xd9327470293d188f6e35f12324d6cc115b9cd95d,5670.0
2022-07-22 04:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-07-26 14:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-07-30 18:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,6279.46
2022-07-30 18:00,USDC,FROM,0x08b2953abd1c784784386b8501f5e8640d3cb9c0,6014.0
2022-08-10 06:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,100000.0
2022-08-19 11:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-08-19 13:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-09-05 18:00,USDC,FROM,0x958c5eb6018832508108e18d58a4acaf6f5fe658,15000.0
2022-09-13 10:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,8000.0
2022-09-13 14:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,2267.0
2022-09-13 14:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,1285.0
2022-09-15 09:00,USDC,FROM,0x46d6a45167c9d4c6d5b6e4e6ece9834be53c8f9c,76.0
2022-09-20 09:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-09-20 09:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4215.0
2022-10-10 16:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,868.0
2022-10-11 11:00,USDT,TO,0x83971bef12686921e144db119042b484731ea120,48775.0
2022-10-17 11:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,140.0
2022-10-19 10:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-10-19 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-10-19 10:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,97.0
2022-10-19 13:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,100.0
2022-10-20 15:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,140.0
2022-10-20 15:00,USDC,FROM,0xef9fadde8539563d9a5e6625ce014b2e399f1597,200.0
2022-10-25 08:00,USDT,FROM,0x7b464929a7c7c9f59335211a0f699667322b4f14,25517.0
2022-11-07 19:00,USDC,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,884.0
2022-11-16 20:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,3249.0
2022-11-17 15:00,USDC,FROM,0x5b6b4af06798a8c85e8c5effd69b112623e97fd3,4000.0
2022-11-17 15:00,USDT,FROM,0x3d0d0fdc3f8f4cbd1628cab514ec66654f49917e,21000.0
2022-11-23 15:00,USDC,TO,0x83971bef12686921e144db119042b484731ea120,20077.669484
2022-11-23 16:00,USDT,FROM,0xe5ea222c37cd23f37c6f35c51d2c008479ea1bc2,609.0
2022-11-24 09:00,USDC,TO,0x75ff84530c0628485127c8501fad8a555307488c,100000.0
2022-11-24 14:00,USDC,FROM,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,67632.35
2022-11-24 14:00,USDT,TO,0x4a72907eeb02ff3e816fec0ca3356f45ba67d1ec,66990.022037
